group,method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean
MNIST-10 full-class,qproto_chop,3,0.7505416666666667,0.04252694022399789,0.7465014531461234,11564.0
MNIST-10 full-class,qproto_cproto,3,0.7482916666666666,0.04486072409168238,0.7442977469667987,7724.0
MNIST-10 full-class,qproto_hop,3,0.4120583333333333,0.06276302429382913,0.4087441344940452,11564.0
MNIST-10 full-class,qproto_proto,3,0.4115083333333333,0.06217550649736119,0.4082151897708243,7724.0
MNIST-10 full-class,fedavg_forced,3,0.1307333333333333,0.0501486579928498,0.11361274601782113,7720.0
MNIST-10 full-class,fedprox_forced,3,0.1306,0.04990610514248859,0.11349128795099946,7720.0
MNIST-10 full-class,shared_observable,2,0.7050375,0.16533682499999977,0.7000528970305187,7724.0
MNIST-10 full-class,no_schema,3,0.21908333333333332,0.018890808469025383,0.21582198928284466,7724.0
MNIST-10 full-class,forced_canonical,3,0.2179166666666667,0.012305365855511435,0.2146132490016709,7724.0
MNIST-10 full-class,wrong_schema,3,0.128025,0.010203948546681968,0.12789971409939208,11564.0
MNIST-10 full-class,local_only,3,0.5315916666666667,0.03294982816914093,0.5266957350070618,0.0
MNIST-10 full-class,classical_kernel,3,0.45816666666666667,0.04342857213702876,0.4501167325036144,7724.0
MNIST-10 matched-budget,qproto_proto,3,0.46047499999999997,0.0773433827171737,0.45708447118203566,20524.0
MNIST-10 matched-budget,shared_observable,3,0.7341583333333334,0.022333697309644445,0.7299018488309219,20524.0
MNIST-10 schema-head,qproto_masked_hop,3,0.7541166666666668,0.04060792786537169,0.7501773136844415,24364.0
MNIST-10 schema-head,qproto_chop,3,0.7505416666666667,0.04252694022399789,0.7465014531461234,11564.0
MNIST-10 schema-head,qproto_cproto,3,0.7482916666666666,0.04486072409168238,0.7442977469667987,7724.0
MNIST-10 schema-head,fedproto_schema,3,0.4172333333333333,0.06023909711259871,0.41399945945632266,7724.0
MNIST-10 schema-head,fedadam_schema,3,0.4599083333333333,0.0733394967735075,0.4538670355937258,7720.0
MNIST-10 schema-head,fedavg_schema,3,0.3037916666666666,0.016752290317945676,0.2854369935330645,7720.0
MNIST-10 schema-head,fedprox_schema,3,0.29888333333333333,0.01605840903536678,0.280395470040067,7720.0
MNIST-10 strong-baseline,qproto_masked_hop,3,0.7541166666666668,0.04060792786537169,0.7501773136844415,24364.0
MNIST-10 strong-baseline,qproto_chop,3,0.7505416666666667,0.04252694022399789,0.7465014531461234,11564.0
MNIST-10 strong-baseline,qproto_cproto,3,0.7482916666666666,0.04486072409168238,0.7442977469667987,7724.0
MNIST-10 strong-baseline,fedproto_schema,3,0.4172333333333333,0.06023909711259871,0.41399945945632266,7724.0
MNIST-10 strong-baseline,fedproto_forced,3,0.22012500000000002,0.010723560335570627,0.2162497076359951,7724.0
MNIST-10 strong-baseline,fedadam_forced,3,0.231775,0.013315421268424962,0.2240984678130998,7720.0
