setting,axis,value,method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean
Fashion-10 overlap,overlap,0.2,qproto_chop,3,0.6509416666666665,0.021296620090405585,0.650817821786375,11564.0
Fashion-10 overlap,overlap,0.2,qproto_cproto,3,0.6505583333333332,0.021528830894689776,0.6504290263591549,7724.0
Fashion-10 overlap,overlap,0.2,fedadam_schema,3,0.23792500000000003,0.06337202375872542,0.2395063700698853,7720.0
Fashion-10 overlap,overlap,0.2,fedproto_schema,3,0.22005000000000002,0.02985324160208915,0.22164288343740787,7724.0
Fashion-10 overlap,overlap,0.2,shared_observable,3,0.5977583333333334,0.02814029401459018,0.5984391713307401,7724.0
Fashion-10 overlap,overlap,0.2,no_schema,3,0.228525,0.014512793832863776,0.22948677338396292,7724.0
Fashion-10 overlap,overlap,0.2,wrong_schema,3,0.1504,0.034089961346178733,0.1509819546708458,11564.0
Fashion-10 overlap,overlap,0.6,qproto_masked_hop,3,0.6735500000000001,0.01652400090554531,0.6729728540243182,24364.0
Fashion-10 overlap,overlap,0.6,qproto_chop,3,0.6696583333333334,0.024104669405749662,0.6689234374884864,11564.0
Fashion-10 overlap,overlap,0.6,qproto_cproto,3,0.66925,0.025359042742017238,0.6685238330123686,7724.0
Fashion-10 overlap,overlap,0.6,fedadam_schema,3,0.36685,0.1542568485696745,0.36976177713010966,7720.0
Fashion-10 overlap,overlap,0.6,fedproto_schema,3,0.36287499999999995,0.11571315263461032,0.3645663683768004,7724.0
Fashion-10 overlap,overlap,0.6,shared_observable,3,0.6658166666666666,0.019371599633147066,0.6651380631135996,7724.0
Fashion-10 overlap,overlap,0.6,no_schema,3,0.21903333333333333,0.028796652960472686,0.2201190198665677,7724.0
Fashion-10 overlap,overlap,0.6,wrong_schema,3,0.153,0.011177624017997243,0.15384798572167585,11564.0
Fashion-10 overlap,overlap,1.0,qproto_masked_hop,3,0.67145,0.04549612860399036,0.671167970257085,24364.0
Fashion-10 overlap,overlap,1.0,qproto_chop,3,0.671825,0.041420007243322426,0.6714888774846709,11564.0
Fashion-10 overlap,overlap,1.0,qproto_cproto,3,0.6698083333333333,0.04306446995749831,0.6694417334152648,7724.0
Fashion-10 overlap,overlap,1.0,fedadam_schema,3,0.6728833333333333,0.0467951799552679,0.6720998790488554,7720.0
Fashion-10 overlap,overlap,1.0,fedproto_schema,3,0.6683833333333333,0.046505977388811175,0.6681581342146493,7724.0
Fashion-10 overlap,overlap,1.0,shared_observable,3,0.6670166666666667,0.04847509557586917,0.6667602662197698,7724.0
Fashion-10 overlap,overlap,1.0,no_schema,3,0.24385833333333332,0.03378564859505295,0.24524477354412452,7724.0
Fashion-10 overlap,overlap,1.0,wrong_schema,3,0.1414416666666667,0.019630628126287006,0.14193669986043336,11564.0
MNIST-10 clients,clients,10.0,qproto_masked_hop,3,0.7518,0.03470279019330903,0.7478479297313774,24364.0
